district,facility,latitude,longitude,source
Nakapiripirit,Nabulenger Health Centre II,1.838904,34.567713,Uganda MFL
Nakapiripirit,Nakaale Health Centre II,1.857013,34.615247,Uganda MFL
Nakapiripirit,Nakapiripirit Health Centre III,1.852976,34.719805,Uganda MFL
Nakapiripirit,Namalu Health Centre III,1.803736,34.594860,Uganda MFL
Nakapiripirit,Namalu Prisons Health Centre II,1.761244,34.614054,Uganda MFL
Nakapiripirit,Tokora Health Centre IV,1.840991,34.665894,Uganda MFL
Napak,Amedek Health Centre II,2.081790,34.244419,Uganda MFL
Napak,Apeitolim Health Centre II,2.359615,33.913424,Uganda MFL
Napak,Iriri Health Centre III,2.117965,34.227089,Uganda MFL
Napak,Kalokengel Health Centre II,2.352786,34.522513,Uganda MFL
Napak,Kangole Health Centre III,2.438301,34.488753,Uganda MFL
Napak,Lokopo Health Centre III,2.480808,34.343549,Uganda MFL
Napak,Lopeei Health Centre III,2.525729,34.363770,Uganda MFL
Napak,Lorengechora Health Centre III,2.219011,34.254855,Uganda MFL
Napak,Lotome Health Centre III,2.368634,34.527455,Uganda MFL
Napak,Morulinga Health Centre II,2.415030,34.466702,Uganda MFL
Napak,Nabwal Health Centre II,1.996214,34.277390,Uganda MFL
Napak,Nakichumet Health Centre II,2.313439,34.336961,Uganda MFL
Napak,Namendera Health Centre II,2.118038,34.227426,Uganda MFL
Napak,Ngoleriet Health Centre II,2.469027,34.474334,Uganda MFL
Napak,St. Kizito Matany Hospital,2.442322,34.394262,Uganda MFL
Pakwach,Alwi Health Centre III,2.463611,31.353929,Uganda MFL
